,2013,2014,2015,2016,2017,2018
Port1,0.2249280471271775,0.5401710369953494,1.2276737960072475,-0.1288588218827994,0.0378940078114296,-0.29579665404598743
Port2,0.1994786791038241,0.5082768416217971,0.8374671232619295,-0.045402441860928566,0.012764704199871524,-0.273828937421688
Port3,0.17274971364160407,0.5853566773915848,0.8021178769204302,-0.02664595923873969,-0.0382102705450289,-0.26022130891764805
Port4,0.07150180284702312,0.5555276831255722,0.6683339817339611,-0.05380544249039765,-0.07716956254582974,-0.32582195494651023
Port5,0.09637582574750958,0.5301297865805266,0.5747279017962992,-0.12321477121700108,-0.08074579774700485,-0.30525670090556056
baseline,0.1518862776857648,0.5448130371727982,0.8156077977646441,-0.075787383829921,-0.029804146458306646,-0.2923205347681872
hs300,-0.13281416898844067,0.5165946646088928,0.05583366466640505,-0.1128178423361409,0.21775121018193921,-0.24131151190668876
index,0.008053867731270925,0.48039824761349137,0.3517234040717794,-0.1274187938501824,0.03406128966466393,-0.275443853016619
szzz,0.12973292259839697,0.3380333092236203,0.6315161699021548,-0.14716725273040465,-0.03543115765663862,-0.2835922656208052
zz1000,0.23182899715898397,0.3445699074764976,0.7609860274208962,-0.20006045572993258,-0.17354069070803635,-0.36121814974265865
zz500,0.10042941248486148,0.3900706589753824,0.4311663185359953,-0.17775251785679347,-0.0020443271705128385,-0.30322135697571406
