,2013,2014,2015,2016,2017,2018
Port1,0.10354412246845324,0.47924711850131363,1.1347757775145828,-0.16974524821779113,0.057669720133824764,-0.2933667163790018
Port2,0.0862823907012642,0.4672891291586625,0.9158557187300185,-0.085928412293096,0.02578233152507381,-0.3285601943172911
Port3,0.1797988516969753,0.49709252260195824,0.7798927707459382,-0.03694905686086303,0.00019603017940439393,-0.2766572710327808
Port4,0.23587914656425912,0.6340585489994237,0.6045834245807189,-0.07940005432604336,-0.07315017221815756,-0.31621482411680146
Port5,0.13496834705592486,0.5838342178060238,0.5190139624284134,-0.11459961597351764,-0.10570273483655424,-0.3359868066529831
baseline,0.14746647127956214,0.5321268495614637,0.7830287257200501,-0.09793116068111729,-0.02051611185745683,-0.3101314253064167
hs300,-0.13281416898844067,0.5165946646088928,0.05583366466640505,-0.1128178423361409,0.21775121018193921,-0.24131151190668876
index,0.008053867731270925,0.48039824761349137,0.3517234040717794,-0.1274187938501824,0.03406128966466393,-0.275443853016619
szzz,0.12973292259839697,0.3380333092236203,0.6315161699021548,-0.14716725273040465,-0.03543115765663862,-0.2835922656208052
zz1000,0.23182899715898397,0.3445699074764976,0.7609860274208962,-0.20006045572993258,-0.17354069070803635,-0.36121814974265865
zz500,0.10042941248486148,0.3900706589753824,0.4311663185359953,-0.17775251785679347,-0.0020443271705128385,-0.30322135697571406
