,2013,2014,2015,2016,2017,2018
Port1,0.2151653779587428,0.5647592906806684,1.133230000675015,-0.12067910617945543,0.04444622393902842,-0.27899289947743955
Port2,0.17289991729033294,0.531747665209714,0.8799607676369394,-0.08521501002350451,-0.00670512774434695,-0.28432250238921597
Port3,0.12689318228923874,0.5444498690050457,0.689740816201694,-0.0937193449389977,-0.0625411477503075,-0.26394100840100243
Port4,0.09519815027309186,0.502056486202106,0.7037951996673029,-0.0783458495603867,-0.10058057470570236,-0.33864295934466637
Port5,0.10018856330747372,0.6034776505607116,0.6426221935444729,-0.11917678564964329,-0.06704946924778876,-0.29086857041494685
baseline,0.14152897465055525,0.5499534990285042,0.8079798890907555,-0.09930470322738638,-0.03949215516179583,-0.2915496523267016
hs300,-0.13281416898844067,0.5165946646088928,0.05583366466640505,-0.1128178423361409,0.21775121018193921,-0.24131151190668876
index,0.008053867731270925,0.48039824761349137,0.3517234040717794,-0.1274187938501824,0.03406128966466393,-0.275443853016619
szzz,0.12973292259839697,0.3380333092236203,0.6315161699021548,-0.14716725273040465,-0.03543115765663862,-0.2835922656208052
zz1000,0.23182899715898397,0.3445699074764976,0.7609860274208962,-0.20006045572993258,-0.17354069070803635,-0.36121814974265865
zz500,0.10042941248486148,0.3900706589753824,0.4311663185359953,-0.17775251785679347,-0.0020443271705128385,-0.30322135697571406
