,年化收益率,年化波动率,夏普比率,最大回撤,超额收益年化收益率,超额收益年化波动率,信息比率,超额收益胜率,超额收益最大回撤
Port1,0.22674994290517514,0.32296415838400894,0.7020901143945709,0.39303103767037667,0.150080648726733,0.09998362931858859,1.501052219744043,0.6363636363636364,0.057802878790074425
Port2,0.18264126072478315,0.3092156186356389,0.5906598817053825,0.40912340181219997,0.1068132107950781,0.07610109415580428,1.4035699746497192,0.6515151515151515,0.07354581205126122
Port3,0.17813938732584944,0.29131611978520305,0.6114985585322139,0.33948943706185036,0.09674703281065744,0.07103227720874904,1.3620150812050993,0.6363636363636364,0.07675447187859015
Port4,0.13006884553484976,0.3038824611808445,0.42802353590733905,0.406800605241491,0.05431939932696528,0.08129265007401928,0.668195701302712,0.5454545454545454,0.15617989754310077
Port5,0.11112531808099302,0.28325823613824064,0.3923109865965546,0.4171456264686507,0.03243996005239258,0.059500700043107646,0.5452029980973361,0.5454545454545454,0.12683402302977
szzz,0.1032983476822904,0.28310586344100225,0.36487533824539536,0.4244630098086318,0.0,0.0,,1.0,0.0
index,0.08285572980715217,0.25288586738542085,0.3276408075460879,0.41639625725820917,-0.02828929992524476,0.13878530872227463,-0.20383497493855712,0.5303030303030303,0.6366223938806885
zz1000,0.08181642785725396,0.32338824953497225,0.25299752843495343,0.5694752905649019,0.0,0.0,,1.0,0.0
zz500,0.07644285731902101,0.2746488474009235,0.27832943062539856,0.47648786551812483,0.0,0.0,,1.0,0.0
hs300,0.04984139822087008,0.2455455321270183,0.20298230551834115,0.4055839196137687,0.0,0.0,,1.0,0.0
