,Port1,Port2,Port3,Port4,Port5,baseline,index,hs300,zz500,zz1000,szzz
2013-01-31,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
2013-02-28,1.040886073737394,1.037186323910228,1.0328519944866412,1.034442256372843,1.0313309802331077,1.0353395257480427,1.0149608277820734,0.9949551189817789,1.0369466593938794,1.0485074842183333,1.032266333977065
2013-03-31,1.0001241080660324,0.9662697813304446,0.9741861958294666,0.9907050700142351,0.9605668878266276,0.9783482502058046,0.9618672687991491,0.928616515351251,0.9907021937339457,1.0200673721164952,0.9911194948131186
2013-04-30,0.9886442478610378,0.9313812083260655,0.9577585754271309,0.9858193085694293,0.9514309377133657,0.9629117928008243,0.9405588421791743,0.9108349380434273,0.9678495291751613,0.9967866484611553,0.9748026079674603
2013-05-31,1.130689711976612,1.0605925352839012,1.108261775830727,1.118220814187736,1.0990878722948114,1.1033138858147744,1.0347755702539894,0.970055997993213,1.1039131082026348,1.1571162381968958,1.106378069830636
2013-06-30,0.9439074969227823,0.8928422171087582,0.9258717509836538,0.9321324812241675,0.9047651321077798,0.9199097705118965,0.8833195691175407,0.8190307575844419,0.9299754744602743,0.9898098231172806,0.9481653649616326
2013-07-31,1.0041704320113773,0.9347646454690841,0.9882384565077019,0.9997181799795615,0.9533520012588332,0.975907552285144,0.9147401519587012,0.816195500956127,0.9859482509387469,1.071800023686583,1.0072174132244118
2013-08-31,1.0726968832524613,1.0018535873472796,1.0639039225868019,1.0558600492563077,1.0067994506630944,1.0400830679016018,0.9746814724642634,0.8611878005807476,1.0530256308271146,1.1490856072132514,1.0646149146343549
2013-09-30,1.1594502118497945,1.0683965176982628,1.1409503827579683,1.1176510490728233,1.0681246383071632,1.11063095920493,1.026148053788707,0.8965920349311955,1.1130160666138256,1.2284175246641353,1.1285430160818963
2013-10-31,1.122116831863677,1.0457747777928958,1.1353107080755618,1.0992107770338744,1.0570268811982548,1.0917047431286662,0.9975686161543501,0.8834470587096868,1.0673032654546246,1.173604243360681,1.0906144788337635
2013-11-30,1.210273667610671,1.1347498330242747,1.2202149574622159,1.1934714578173968,1.1400799797738728,1.1796424197801632,1.0482535300716191,0.9077227805314863,1.1341360796726552,1.2759154438445248,1.163847136533762
2013-12-31,1.1749143402723572,1.1102002438981111,1.2030150766356202,1.1621298517989274,1.1177656414354618,1.1535063561313377,1.008053867731271,0.8671858310115593,1.1004294124848615,1.231828997158984,1.129732922598397
2014-01-31,1.1945438461011288,1.1315497807079713,1.2378854343854855,1.20489109295661,1.1401817938445615,1.1815996204559445,0.9964131638141205,0.8197047730417638,1.11661500420446,1.2955294184888895,1.154945268572796
2014-02-28,1.2391485757839036,1.1379773008959735,1.2768972919383923,1.2292559219926182,1.1636293026346738,1.2088524828380833,1.0047077093612296,0.8109663915274287,1.142627192828679,1.3306594789885995,1.165195127578487
2014-03-31,1.1766933268026898,1.0868611238100356,1.2386910191571228,1.1774587306211861,1.1155511167870016,1.1583959851586707,0.9772233292033821,0.7988088051503566,1.1037171108029051,1.273159336786665,1.1107350076051477
2014-04-30,1.1547237835095365,1.0724806036506676,1.2479139472770717,1.1744525115557563,1.105454799689263,1.1500416859489961,0.9708557759285089,0.803406699661541,1.0823453474183231,1.2434923036466068,1.0975926289884301
2014-05-31,1.2001392640954196,1.1139183602665819,1.2752709485007887,1.2107037535134035,1.1511212855712076,1.1896183677602195,0.984117879880819,0.8025897676191215,1.1004702213276205,1.2772709648930214,1.1255522277100818
2014-06-30,1.2785973352981372,1.163610215543881,1.3247004248127339,1.2680078446188858,1.1926908222854093,1.2448612749375458,1.0129073116274951,0.805810601284314,1.1279630237398255,1.3421656076858839,1.171517440568763
2014-07-31,1.365054855834084,1.2425488567896004,1.4298886245901226,1.3566110752583476,1.2982797493242193,1.337795066310303,1.0958171000553125,0.8747131433386359,1.223416056497831,1.4056909901129127,1.2390547826978624
2014-08-31,1.427059436109713,1.313956375630315,1.5173652366585382,1.4146203062330254,1.3761678309184087,1.409185770114243,1.1249292753236033,0.8702603984841911,1.2725113934265573,1.4896953746038613,1.294857553022406
2014-09-30,1.5927147921961724,1.4512479889016345,1.6549997891889379,1.5585431556907947,1.5301525382634886,1.557124483502074,1.2269581538560175,0.9122052996744927,1.4128248398252916,1.683652767881653,1.4243661664929166
2014-10-31,1.6493999898710892,1.4863056515921809,1.6831017210733021,1.5957188412384955,1.586285538419564,1.5998721129200206,1.2493995564306943,0.9335449044654736,1.4330272286944787,1.7060412602691093,1.4425191837711282
2014-11-30,1.7907688330358722,1.5962936598605864,1.853994343554888,1.7604326314137355,1.7478730260273683,1.7490864782024869,1.35165550354193,1.0453823428047828,1.5074174382507601,1.7800956311443947,1.517097696238443
2014-12-31,1.7400486502106391,1.5968090490957534,1.8734586993741864,1.8309713607382814,1.832076334086279,1.773833267959848,1.4923211792893754,1.3151694045365598,1.5296746385687243,1.6562802007369224,1.511620280963205
2015-01-31,2.0868927489002456,1.8439228816270834,1.9689535935260813,1.8980924479991825,1.878653858377314,1.9395587820036158,1.5165284673960937,1.278206486179892,1.6187683891255353,1.7989154732466641,1.6154401585972349
2015-02-28,2.260682941938228,2.01226336506182,2.131220338349442,2.0384413960664314,2.0016061485095626,2.0933167482174255,1.6058388413948923,1.3297357308582962,1.7296233113904373,1.9624933123872863,1.741120562951823
2015-03-31,2.756863434684091,2.440846059298259,2.6342522243469766,2.4838767301566085,2.3288135641940304,2.533117557988397,1.8859895293808968,1.5077714614932851,2.0844421172547256,2.4128271915379,2.091846042759729
2015-04-30,3.2245771173421343,2.90778104231096,3.011971294610873,2.823468192366447,2.6882716695743336,2.9360925440276393,2.2111774018785257,1.767805955006584,2.4340672794123988,2.7974596551816053,2.422296113684139
2015-05-31,4.02174023122213,3.567194416513378,3.729655819458336,3.517034939817588,3.256645791191237,3.6227497344361974,2.5155015812740675,1.80165299406524,2.8643338761101007,3.579699444189657,2.9835827081161455
2015-06-30,3.5875203755259935,3.1989541265281827,3.453328721969785,3.2049431639575707,2.9832867346426326,3.2909326633470695,2.2775182002703356,1.664754015993259,2.5594674503497203,3.127473358776718,2.632135166544187
2015-07-31,2.9999610841337345,2.6986751047818758,2.9250939081665406,2.681488607435561,2.4965262340981615,2.7646331084013704,1.9298582289787631,1.420493828906517,2.2206507688443455,2.5345292676311852,2.254437048177328
2015-08-31,2.6386991162240676,2.263780215898697,2.4635144897616272,2.261127464805036,2.1131340421825326,2.350099761997056,1.6792490103715647,1.2529526417609704,1.8913785571947428,2.184677611040476,1.9122994035513476
2015-09-30,2.5764808538170114,2.2466231151234144,2.406668087072375,2.1863279379163183,2.0373404808808515,2.292201808296312,1.5991143322329133,1.1920685389235552,1.7598748490503897,2.1234140225121467,1.8337591646300822
2015-10-31,3.130203099419468,2.704383071337054,2.882280229005727,2.6227471649761886,2.474469163733092,2.7646075779771637,1.8290376414752294,1.3153085248998653,2.0361228955425825,2.5248099646322495,2.152149949583853
2015-11-30,3.524220686177545,3.037885472766358,3.1823216096759595,2.833758954835053,2.6816035076399483,3.050720668061076,1.9234861750635375,1.327342324672241,2.129071702286273,2.74818985868013,2.353756857450481
2015-12-31,3.6982440256941573,3.2636424126176165,3.4464917155633983,3.0783725029871696,2.822875041964016,3.261652255827855,2.017205464437447,1.3886001320489696,2.189218821038281,2.9166862909915974,2.4662329311435065
2016-01-31,2.6014806709397096,2.369627365898205,2.5060639471204618,2.2630986767439483,2.0894454583923876,2.3692537944877565,1.5026599023693015,1.0964717468054048,1.5717512568836185,2.029505651118615,1.8045455710696767
2016-02-29,2.4860854330170548,2.3182512715815644,2.4440550314967697,2.203922865916033,2.019290525869834,2.2979363387585465,1.468056137704439,1.070931510948378,1.5376408982773495,1.973976166681002,1.7553310802727597
2016-03-31,2.9879002611962777,2.7903738940255574,2.9143109446004685,2.622604334332914,2.409673979048225,2.74888803149329,1.6821694417634165,1.1977034719053532,1.7690960381510952,2.321169540153293,2.0425044434570094
2016-04-30,2.985838140110033,2.9812500415555077,2.943681574700873,2.6045666782304093,2.360319724203834,2.7766153261391904,1.6534385718441695,1.1748729940503526,1.720177213836612,2.278445539132187,2.001684454736554
2016-05-31,3.0012950602591646,3.000469280378662,2.9650497225554098,2.620905635005547,2.3879103237453156,2.7970761937254904,1.6455694500507225,1.1796423512457934,1.709178483508917,2.2525766578341178,1.9999391160938593
2016-06-30,3.1450188721030132,3.182830880026033,3.163853649185845,2.772880779847132,2.491963774450927,2.9521880017966806,1.696273708285221,1.173821924446254,1.759807744368811,2.4019347157101683,2.1087610872797495
2016-07-31,3.0717562161550003,3.1116243806262927,3.1733676813641956,2.782632915523211,2.4955214582703977,2.929919557253783,1.7051158525817691,1.1924343532764001,1.7826257501498723,2.3359835194140683,2.073850041871037
2016-08-31,3.218561965262544,3.264566642901471,3.347943475742759,2.9565977645634844,2.6327435036757207,3.0878200759994074,1.7764706177919771,1.238533660949755,1.8491033550041702,2.428666206307941,2.17139033206296
2016-09-30,3.136867615753191,3.215869680897576,3.305002256243269,2.8903101276846206,2.588884664472422,3.03087792487675,1.7457884652295288,1.2108030051189445,1.818604578982067,2.3799297701054996,2.1315850751115133
2016-10-31,3.251308554073368,3.309861316990005,3.42544366375308,2.9770350898377056,2.671527427067638,3.130339041974338,1.7950643653369351,1.2416912242517533,1.854275013665215,2.4484859684473834,2.189979149932493
2016-11-30,3.3607326568550833,3.4083737501945826,3.5130328851563957,3.031749746967968,2.716815183167832,3.2081716767979462,1.8636953786675368,1.3167682838323378,1.8926042306699726,2.4771750095007388,2.2504721173072646
2016-12-31,3.1431865645059864,3.1976607362507625,3.28984668664321,2.8460622568863325,2.5585760452096102,3.0095365719997496,1.7601755772108303,1.2319412612835248,1.8000796634592457,2.333172702394571,2.1032842060738637
2017-01-31,3.098018311785246,3.1597182803929744,3.235149391902505,2.7757674300278086,2.4767433512691763,2.9496199142178776,1.7528490447066702,1.2609264567628944,1.7886073493851955,2.2548612040423275,2.047960282330422
2017-02-28,3.2147024294307673,3.298680116510376,3.364575575568288,2.8803066144857254,2.555312646870384,3.0623152957070263,1.8061109662078725,1.2850621277748706,1.8539198905173475,2.3379058422599974,2.137688953736776
2017-03-31,3.1616429649874864,3.293587518477638,3.3191361116936635,2.826326057979164,2.5200158454589716,3.023051088094506,1.7916089407172588,1.2862662000043172,1.839745370064358,2.291483519276675,2.121828482559431
2017-04-30,3.0633415125341696,3.176137790409904,3.238163257158887,2.7112508124009937,2.378999713976986,2.9094921749595595,1.7368180042902284,1.2802024800493657,1.7852036332515058,2.154897146096482,2.036849823970741
2017-05-31,2.9571441658792166,3.0226387566941364,3.0754941374435747,2.588618319602601,2.2420828582250407,2.7721558618391593,1.6833706892417069,1.2999768877085038,1.6737672711931537,1.9819503290703904,1.9315172483037952
2017-06-30,3.106102858197128,3.165715948681984,3.1902202235916377,2.6971772263339515,2.3086725606674743,2.886727907830342,1.7630065458772803,1.3647036602277287,1.7640213148609147,2.051489548089123,2.0269925059388507
2017-07-31,3.1948356774332094,3.196939887737155,3.2374976155731927,2.71722101732972,2.362031441363259,2.9351057949918515,1.7894691328465175,1.3911564408113197,1.8099585071780466,2.0457725906664432,2.007135059730316
2017-08-31,3.3259997134406403,3.305464973856234,3.3385495239084775,2.8337060506282703,2.45818883252242,3.046518496409478,1.8417835884729827,1.4225011742235054,1.8595112192705114,2.1103236955686047,2.0774647300599867
2017-09-30,3.37104769896862,3.380153266693128,3.3597008370699535,2.869062773607876,2.501333011058392,3.090695134230379,1.8627328807115295,1.4278637096828224,1.8976855351045148,2.1550355834579737,2.1239848409755098
2017-10-31,3.3492535492963857,3.3358674641951485,3.31298242281629,2.867697912124596,2.460676576104855,3.059663341458275,1.8829519582950156,1.4912146867633194,1.8853126101048452,2.0970411830541478,2.138716823611847
2017-11-30,3.2596925954985765,3.2616198366962696,3.216531334556784,2.75745098680625,2.3526282524618156,2.961469312162543,1.8268125634103891,1.4909844570770137,1.8000208642393272,1.9657040534558385,2.031445148941261
2017-12-31,3.2576026898148656,3.200791753511157,3.1606064098172526,2.671120616144341,2.294637173216686,2.906602152321343,1.8201294274068756,1.5001979618010768,1.7963997116941486,1.9282723000798823,2.028762411771743
2018-01-31,3.257340850131008,3.185959223479326,3.1861653440625055,2.6188657207706436,2.2703098960427415,2.891027190570134,1.8514247944185627,1.5913979847272792,1.7787313795285613,1.8660766637420256,2.005769978466324
2018-02-28,3.1050779965658464,3.042863196935264,3.0397580161175495,2.5363164098154574,2.1713486917191034,2.7680311162052806,1.7609550058384724,1.4975132886371643,1.7311217431238548,1.803644711145968,1.9352349050638322
2018-03-31,3.17783201684699,3.0950431028084227,3.0622419249611976,2.607073192826403,2.2147017272579776,2.8210881654674864,1.759076424430373,1.4509374434753743,1.7572914768720207,1.8681812523717511,1.9800320014355786
2018-04-30,3.081279638894229,2.9966422570725846,2.96139209474644,2.485984873980484,2.109497393489097,2.714418161537975,1.6929173122553336,1.3982290625341942,1.6843659024300817,1.7907974876833908,1.8971505263787536
2018-05-31,3.014201942830677,2.9921954351400966,2.928509173216909,2.427907688886706,2.0792064586864147,2.6752879825723204,1.6906935076350194,1.4151629658466585,1.6537566838849342,1.7353230704296658,1.8879886734571805
2018-06-30,2.695648741020911,2.675143818592589,2.664983155791734,2.132775677618531,1.8670361349028128,2.394258562162541,1.549309892573372,1.3067133204956531,1.4995135413511418,1.5411490630747342,1.7171622118161778
