,年化收益率,年化波动率,夏普比率,最大回撤,超额收益年化收益率,超额收益年化波动率,信息比率,超额收益胜率,超额收益最大回撤
Port1,0.19757416433299513,0.3193280469582879,0.6187184815582553,0.381838385851793,0.12231406817701429,0.0948606036857306,1.2894084944076039,0.7121212121212122,0.0397570451148845
Port2,0.19591270333108346,0.30954962448890044,0.6328959489275954,0.3701988585978746,0.11780959211664288,0.08936873623236403,1.3182416702226931,0.6666666666666666,0.03663279660638932
Port3,0.1950855471282822,0.29808449891887545,0.654463911527903,0.3547211315005739,0.11481568997530522,0.07005788514912828,1.6388689114851744,0.6666666666666666,0.06702972705459426
Port4,0.14764670581288963,0.2983093996971422,0.49494486584327396,0.39358700891121995,0.07031639079565788,0.07175110932667231,0.9800042320672373,0.5606060606060606,0.12582761441913606
Port5,0.12021270813719398,0.29261291742923745,0.4108250216474637,0.426699661365421,0.0431612319295831,0.06952265030979944,0.6208225914468538,0.5303030303030303,0.1552739458342783
szzz,0.1032983476822904,0.28310586344100225,0.36487533824539536,0.4244630098086318,0.0,0.0,,1.0,0.0
index,0.08285572980715217,0.25288586738542085,0.3276408075460879,0.41639625725820917,-0.02828929992524476,0.13878530872227463,-0.20383497493855712,0.5303030303030303,0.6366223938806885
zz1000,0.08181642785725396,0.32338824953497225,0.25299752843495343,0.5694752905649019,0.0,0.0,,1.0,0.0
zz500,0.07644285731902101,0.2746488474009235,0.27832943062539856,0.47648786551812483,0.0,0.0,,1.0,0.0
hs300,0.04984139822087008,0.2455455321270183,0.20298230551834115,0.4055839196137687,0.0,0.0,,1.0,0.0
