Stk_code,plainNum
002202.SZ,297
000625.SZ,266
000725.SZ,252
002024.SZ,245
002594.SZ,230
000063.SZ,193
002236.SZ,179
002055.SZ,178
000338.SZ,170
002508.SZ,159
601186.SH,154
000703.SZ,149
000039.SZ,147
000538.SZ,146
002106.SZ,139
300296.SZ,138
300327.SZ,138
000050.SZ,137
002284.SZ,134
000089.SZ,132
002353.SZ,124
002540.SZ,121
002444.SZ,119
002635.SZ,119
000521.SZ,118
002084.SZ,117
000525.SZ,117
002398.SZ,114
002572.SZ,112
002482.SZ,112
000999.SZ,110
000786.SZ,109
000069.SZ,109
002254.SZ,108
002228.SZ,108
002182.SZ,107
002463.SZ,107
000898.SZ,105
000513.SZ,105
601238.SH,103
002244.SZ,103
002133.SZ,101
002229.SZ,99
002108.SZ,99
600887.SH,98
002152.SZ,98
002595.SZ,98
000988.SZ,97
002465.SZ,96
300207.SZ,96
002138.SZ,92
000100.SZ,92
000938.SZ,91
002313.SZ,89
002414.SZ,89
002548.SZ,87
002322.SZ,86
002216.SZ,86
300199.SZ,86
000830.SZ,85
000932.SZ,85
300124.SZ,85
002165.SZ,85
002030.SZ,84
002090.SZ,84
002533.SZ,84
002008.SZ,84
000858.SZ,83
002396.SZ,83
002436.SZ,83
002317.SZ,81
002179.SZ,81
002637.SZ,81
000061.SZ,80
300236.SZ,80
002191.SZ,79
300316.SZ,79
002372.SZ,79
002438.SZ,79
300414.SZ,78
002245.SZ,78
002556.SZ,77
300136.SZ,77
002727.SZ,77
000530.SZ,76
002563.SZ,76
000825.SZ,76
002589.SZ,75
002256.SZ,75
002035.SZ,75
002206.SZ,74
002518.SZ,74
300218.SZ,74
000418.SZ,74
002559.SZ,74
002158.SZ,74
000568.SZ,74
002169.SZ,73
002180.SZ,73
002587.SZ,73
002063.SZ,72
002404.SZ,72
300064.SZ,72
300073.SZ,72
002249.SZ,72
000524.SZ,71
002140.SZ,71
000776.SZ,71
300172.SZ,71
300297.SZ,71
000718.SZ,71
000402.SZ,71
002690.SZ,71
002705.SZ,70
002299.SZ,70
002285.SZ,70
000002.SZ,70
002466.SZ,70
002503.SZ,68
000333.SZ,68
000090.SZ,68
002367.SZ,68
000417.SZ,68
002402.SZ,67
300188.SZ,67
000861.SZ,67
002187.SZ,67
000425.SZ,67
000869.SZ,66
002376.SZ,66
300034.SZ,66
002541.SZ,65
002326.SZ,65
002362.SZ,65
000970.SZ,65
002073.SZ,64
300363.SZ,64
300177.SZ,64
002601.SZ,64
002539.SZ,64
002243.SZ,63
000811.SZ,63
000997.SZ,63
000157.SZ,63
002519.SZ,63
002341.SZ,62
000001.SZ,62
000951.SZ,62
300004.SZ,61
002056.SZ,61
002672.SZ,61
000969.SZ,60
300219.SZ,60
002081.SZ,60
300415.SZ,60
000060.SZ,60
002324.SZ,60
002340.SZ,60
002399.SZ,60
002308.SZ,60
002092.SZ,59
002250.SZ,59
000729.SZ,59
000963.SZ,59
000928.SZ,59
002419.SZ,59
002153.SZ,58
002052.SZ,58
002430.SZ,57
002698.SZ,57
300389.SZ,57
300366.SZ,57
002686.SZ,57
002268.SZ,57
002045.SZ,57
300129.SZ,57
002184.SZ,57
002493.SZ,57
601139.SH,57
002488.SZ,57
002176.SZ,56
002028.SZ,56
300258.SZ,56
002511.SZ,56
000903.SZ,56
000802.SZ,56
002095.SZ,55
002258.SZ,55
002105.SZ,55
300096.SZ,55
000968.SZ,55
002573.SZ,55
603766.SH,55
300005.SZ,55
300196.SZ,55
002522.SZ,55
300178.SZ,55
000878.SZ,54
002069.SZ,54
002344.SZ,54
000983.SZ,54
002242.SZ,54
002142.SZ,54
000933.SZ,54
300055.SZ,54
002380.SZ,54
002440.SZ,53
002033.SZ,53
002043.SZ,53
002331.SZ,53
002183.SZ,53
300084.SZ,53
002385.SZ,53
002361.SZ,53
002375.SZ,52
002091.SZ,52
002194.SZ,52
000156.SZ,52
300016.SZ,52
000026.SZ,51
002583.SZ,51
002051.SZ,51
002590.SZ,51
002614.SZ,51
002291.SZ,51
300049.SZ,51
300230.SZ,51
000863.SZ,51
300007.SZ,50
002391.SZ,50
000042.SZ,50
300072.SZ,50
000616.SZ,49
002666.SZ,49
000681.SZ,49
002006.SZ,49
000021.SZ,49
002408.SZ,49
300320.SZ,48
002304.SZ,48
300433.SZ,48
002139.SZ,48
002439.SZ,48
002253.SZ,48
002544.SZ,48
000860.SZ,48
002611.SZ,48
002424.SZ,48
000099.SZ,48
002022.SZ,48
300144.SZ,47
300335.SZ,47
300340.SZ,47
002124.SZ,47
002641.SZ,47
002156.SZ,47
002383.SZ,47
002489.SZ,47
300307.SZ,47
002449.SZ,47
002318.SZ,47
002277.SZ,47
002562.SZ,47
002429.SZ,47
002146.SZ,46
002279.SZ,46
002266.SZ,46
300183.SZ,46
000598.SZ,46
002531.SZ,46
300271.SZ,46
300383.SZ,46
000807.SZ,46
002171.SZ,46
002441.SZ,46
002019.SZ,46
002484.SZ,46
002009.SZ,45
002334.SZ,45
002261.SZ,45
002218.SZ,45
002234.SZ,45
600975.SH,45
002178.SZ,45
002410.SZ,45
000031.SZ,45
002570.SZ,45
300054.SZ,45
002350.SZ,45
002626.SZ,45
300281.SZ,44
300101.SZ,44
002292.SZ,44
300043.SZ,44
002532.SZ,44
300403.SZ,44
002677.SZ,44
000877.SZ,44
002238.SZ,44
000768.SZ,43
002305.SZ,43
002121.SZ,43
000708.SZ,43
002125.SZ,43
002311.SZ,43
300221.SZ,43
002510.SZ,43
300498.SZ,43
002144.SZ,43
002186.SZ,43
002663.SZ,42
002296.SZ,42
300487.SZ,42
002301.SZ,42
002448.SZ,42
300179.SZ,42
300205.SZ,42
002426.SZ,41
300245.SZ,41
002364.SZ,41
002061.SZ,41
300012.SZ,41
002123.SZ,41
002293.SZ,41
002623.SZ,41
002428.SZ,41
300358.SZ,41
002689.SZ,41
002749.SZ,41
002100.SZ,41
002567.SZ,40
000960.SZ,40
300115.SZ,40
000801.SZ,40
300259.SZ,40
002167.SZ,40
000536.SZ,40
002235.SZ,40
002315.SZ,40
000926.SZ,40
002568.SZ,40
002756.SZ,40
000516.SZ,40
002577.SZ,40
002632.SZ,40
002355.SZ,40
300142.SZ,40
002585.SZ,40
000826.SZ,39
002195.SZ,39
002135.SZ,39
002151.SZ,39
002089.SZ,39
002162.SZ,39
000411.SZ,39
002620.SZ,39
000550.SZ,39
002368.SZ,39
000022.SZ,39
002397.SZ,39
002586.SZ,39
000978.SZ,39
300018.SZ,38
300365.SZ,38
300470.SZ,38
002458.SZ,38
300067.SZ,38
300197.SZ,38
000488.SZ,38
300568.SZ,38
002336.SZ,38
002298.SZ,38
300293.SZ,37
002736.SZ,37
300022.SZ,37
002275.SZ,37
000758.SZ,37
000501.SZ,37
300450.SZ,37
300145.SZ,37
300457.SZ,37
002582.SZ,37
002497.SZ,37
300037.SZ,37
002060.SZ,37
002101.SZ,37
000046.SZ,37
002349.SZ,37
002325.SZ,37
000601.SZ,37
002536.SZ,37
002431.SZ,37
002111.SZ,36
300324.SZ,36
300181.SZ,36
002535.SZ,36
000917.SZ,36
002450.SZ,36
002203.SZ,36
002074.SZ,36
002190.SZ,36
300459.SZ,36
002413.SZ,36
002267.SZ,36
002282.SZ,36
300352.SZ,36
000759.SZ,36
300094.SZ,36
002382.SZ,36
300512.SZ,35
300128.SZ,35
000800.SZ,35
300131.SZ,35
000852.SZ,35
600355.SH,35
300616.SZ,35
002713.SZ,35
300266.SZ,35
002389.SZ,35
002642.SZ,35
300009.SZ,35
002013.SZ,35
300223.SZ,35
000055.SZ,35
000651.SZ,35
002149.SZ,35
002054.SZ,35
002461.SZ,35
300330.SZ,35
002781.SZ,35
002348.SZ,35
000920.SZ,35
000949.SZ,34
300282.SZ,34
300224.SZ,34
002421.SZ,34
002093.SZ,34
002116.SZ,34
300036.SZ,34
002320.SZ,34
002527.SZ,34
002507.SZ,34
000685.SZ,34
000056.SZ,34
000998.SZ,34
002706.SZ,34
000523.SZ,34
000656.SZ,34
002154.SZ,34
002312.SZ,34
300300.SZ,34
300117.SZ,34
002557.SZ,34
002345.SZ,34
002649.SZ,33
000876.SZ,33
002273.SZ,33
002080.SZ,33
300065.SZ,33
002681.SZ,33
002050.SZ,33
300019.SZ,33
002654.SZ,33
002351.SZ,33
300286.SZ,33
300484.SZ,33
000823.SZ,32
002650.SZ,32
300292.SZ,32
000701.SZ,32
000423.SZ,32
601098.SH,32
002546.SZ,32
000528.SZ,32
002470.SZ,32
002427.SZ,32
000541.SZ,32
300011.SZ,32
002384.SZ,32
300226.SZ,32
002332.SZ,32
600176.SH,31
000700.SZ,31
002126.SZ,31
002031.SZ,31
002415.SZ,31
000709.SZ,31
000883.SZ,31
002276.SZ,31
300408.SZ,31
002137.SZ,31
300416.SZ,31
002603.SZ,31
300066.SZ,31
300284.SZ,31
002177.SZ,31
300217.SZ,31
603600.SH,31
002701.SZ,30
002378.SZ,30
002678.SZ,30
002387.SZ,30
002066.SZ,30
002209.SZ,30
300187.SZ,30
002529.SZ,30
002407.SZ,30
000880.SZ,30
000572.SZ,30
300400.SZ,30
300165.SZ,30
002117.SZ,30
300039.SZ,30
002053.SZ,30
300298.SZ,30
002640.SZ,29
002669.SZ,29
002747.SZ,29
000592.SZ,29
002591.SZ,29
002561.SZ,29
300051.SZ,29
000799.SZ,29
002278.SZ,29
000407.SZ,29
300048.SZ,29
002658.SZ,29
002792.SZ,29
000728.SZ,29
002181.SZ,29
000910.SZ,29
300425.SZ,29
002526.SZ,29
002048.SZ,29
000868.SZ,29
300264.SZ,29
300263.SZ,29
300488.SZ,29
000558.SZ,29
002369.SZ,29
300147.SZ,28
000727.SZ,28
002515.SZ,28
300155.SZ,28
300376.SZ,28
000851.SZ,28
002159.SZ,28
300027.SZ,28
002616.SZ,28
002483.SZ,28
300078.SZ,28
002003.SZ,28
002474.SZ,28
002016.SZ,28
300077.SZ,28
002374.SZ,28
002026.SZ,28
