,2013,2014,2015,2016,2017,2018
Port1,0.19542053773711343,0.5419071346588771,1.0457035476792633,-0.11030092065591379,0.022619716712890314,-0.2431667881373304
Port2,0.15706506724876323,0.6143860388687516,0.851488401667263,-0.09213472752794893,0.008898962909709152,-0.3105343677343845
Port3,0.143014258512562,0.5080793202333282,0.7616300778045453,-0.08335921113500555,-0.06381633062953129,-0.2580598487602549
Port4,0.07032889518793595,0.5048967715697104,0.6559213358011802,-0.07455407165334593,-0.0672686880464255,-0.3366474744296384
Port5,0.08603652173291176,0.5944325835695656,0.6056045161800898,-0.12484126850941468,-0.06158783323093453,-0.2950876895100424
baseline,0.1298637652876693,0.5531402201254745,0.7829544049971062,-0.0969952286307425,-0.03275569353419905,-0.2893406787976055
index,0.008053867731270925,0.48039824761349137,0.3517234040717794,-0.1274187938501824,0.03406128966466393,-0.275443853016619
hs300,-0.13281416898844067,0.5165946646088928,0.05583366466640505,-0.1128178423361409,0.21775121018193921,-0.24131151190668876
zz500,0.10042941248486148,0.3900706589753824,0.4311663185359953,-0.17775251785679347,-0.0020443271705128385,-0.30322135697571406
zz1000,0.23182899715898397,0.3445699074764976,0.7609860274208962,-0.20006045572993258,-0.17354069070803635,-0.36121814974265865
szzz,0.12973292259839697,0.3380333092236203,0.6315161699021548,-0.14716725273040465,-0.03543115765663862,-0.2835922656208052
