,2013,2014,2015,2016,2017,2018
Port1,0.22822718974270684,0.5349541298855289,1.142097930898894,-0.12701244404188383,0.0314663657184453,-0.2839169377093308
Port2,0.15312317475888948,0.5365587148812818,0.8307113151982053,-0.08302025534266877,-0.016039474318610414,-0.26104327485685563
Port3,0.1328911097144203,0.591424688393068,0.8190412657282804,-0.08770811672399015,-0.04017212195979736,-0.2640039789746367
Port4,0.09976208892580507,0.5350329430676883,0.6816906588398357,-0.05985734699107792,-0.10192095273700863,-0.331945075983595
Port5,0.0965389840044033,0.5486929526419604,0.5800526360801548,-0.1380935424278703,-0.0674315182060451,-0.31484341410383876
baseline,0.14152897465055525,0.5499534990285042,0.8079798890907555,-0.09930470322738638,-0.03949215516179572,-0.2915496523267016
index,0.008053867731270925,0.48039824761349137,0.3517234040717794,-0.1274187938501824,0.03406128966466393,-0.275443853016619
hs300,-0.13281416898844067,0.5165946646088928,0.05583366466640505,-0.1128178423361409,0.21775121018193921,-0.24131151190668876
zz500,0.10042941248486148,0.3900706589753824,0.4311663185359953,-0.17775251785679347,-0.0020443271705128385,-0.30322135697571406
zz1000,0.23182899715898397,0.3445699074764976,0.7609860274208962,-0.20006045572993258,-0.17354069070803635,-0.36121814974265865
szzz,0.12973292259839697,0.3380333092236203,0.6315161699021548,-0.14716725273040465,-0.03543115765663862,-0.2835922656208052
