,2013,2014,2015,2016,2017,2018
Port1,0.07665231425622654,0.5262629371524823,1.0966433351963683,-0.12600402764846874,0.05613801079007841,-0.279743870625638
Port2,0.12258738351802778,0.4813315435210186,0.9766231120973583,0.000722549530902894,0.013636737185734882,-0.2744315384844114
Port3,0.21259239402447427,0.5262220751933828,0.8494071034308819,-0.07966209009464231,-0.04297506754298097,-0.2662688124058883
Port4,0.2163752120436644,0.5980507752756512,0.7194517267122316,-0.07401978008346699,-0.07039967694060079,-0.30657244234362213
Port5,0.13348506402223603,0.5898936913047748,0.4719480512504248,-0.09859517224638137,-0.09918062448406162,-0.3342197113073788
baseline,0.1518862776857648,0.5448130371727982,0.8156077977646454,-0.075787383829921,-0.029804146458306646,-0.2923205347681872
index,0.008053867731270925,0.48039824761349137,0.3517234040717794,-0.1274187938501824,0.03406128966466393,-0.275443853016619
hs300,-0.13281416898844067,0.5165946646088928,0.05583366466640505,-0.1128178423361409,0.21775121018193921,-0.24131151190668876
zz500,0.10042941248486148,0.3900706589753824,0.4311663185359953,-0.17775251785679347,-0.0020443271705128385,-0.30322135697571406
zz1000,0.23182899715898397,0.3445699074764976,0.7609860274208962,-0.20006045572993258,-0.17354069070803635,-0.36121814974265865
szzz,0.12973292259839697,0.3380333092236203,0.6315161699021548,-0.14716725273040465,-0.03543115765663862,-0.2835922656208052
