,2013,2014,2015,2016,2017,2018
Port1,0.21076401949484924,0.574385605406788,1.1279635076050338,-0.11414372721062638,0.0405652153604279,-0.2798436186147455
Port2,0.1740776834207325,0.5276281285150106,0.857417639971092,-0.08792096094346502,-0.005807970493328818,-0.2895630132705358
Port3,0.117438175012744,0.5370525024055568,0.7176990983061304,-0.09737021777177812,-0.06279669725205772,-0.27559117784966003
Port4,0.09398950725608302,0.515230319602296,0.708189156304565,-0.07488691024294802,-0.100852998944861,-0.344599565237642
Port5,0.09838468823374913,0.6047000492316572,0.6393939941485562,-0.11241026378997576,-0.07136707261959141,-0.28720652817438674
baseline,0.13837490812837938,0.5524197653984715,0.8087447023086893,-0.09718045277166687,-0.0410394834689769,-0.2956342518995285
index,0.008053867731270925,0.48039824761349137,0.3517234040717794,-0.1274187938501824,0.03406128966466393,-0.275443853016619
hs300,-0.13281416898844067,0.5165946646088928,0.05583366466640505,-0.1128178423361409,0.21775121018193921,-0.24131151190668876
zz500,0.10042941248486148,0.3900706589753824,0.4311663185359953,-0.17775251785679347,-0.0020443271705128385,-0.30322135697571406
zz1000,0.23182899715898397,0.3445699074764976,0.7609860274208962,-0.20006045572993258,-0.17354069070803635,-0.36121814974265865
szzz,0.12973292259839697,0.3380333092236203,0.6315161699021548,-0.14716725273040465,-0.03543115765663862,-0.2835922656208052
