,年化收益率,年化波动率,夏普比率,最大回撤,超额收益年化收益率,超额收益年化波动率,信息比率,超额收益胜率,超额收益最大回撤
Port1,0.22975175500568398,0.3181265419052063,0.7222024092354553,0.3922220133023111,0.15330608494544484,0.0985497278810081,1.5556215957344013,0.6716417910447762,0.05714437824970198
Port2,0.18216521439170694,0.30912031992539263,0.5893019728876874,0.3976743892137628,0.10804835385479827,0.07646886070225918,1.4129719321371572,0.6567164179104478,0.07544694793087331
Port3,0.14451255495938686,0.2877774297567156,0.5021677866869422,0.35950986242539673,0.06572362499289787,0.07325199713187187,0.8972263906276703,0.5671641791044776,0.10247701306990782
Port4,0.1226444517730072,0.3007341941860629,0.4078167835385144,0.4096102440229495,0.048577164273879925,0.07662994594488587,0.6339188116982075,0.5671641791044776,0.17015945241737962
Port5,0.1331744795008638,0.2861613589283032,0.4653824681278168,0.3867362641723504,0.05534798930734475,0.06153630091585539,0.8994364055621002,0.582089552238806,0.1070051077433552
szzz,0.10168074583567233,0.2810274967655285,0.3618177829783977,0.4244630098086318,0.0,0.0,,1.0,0.0
index,0.08156996828718,0.2510225947102525,0.3249507016742205,0.4163962572582092,-0.027873011822965862,0.13774732330220968,-0.202348845369678,0.5373134328358209,0.6366223938806885
zz1000,0.08054738660810146,0.32099900537218634,0.2509272155367266,0.5694752905649019,0.0,0.0,,1.0,0.0
zz500,0.07526003176420537,0.27262006775381503,0.27606196559296464,0.4764878655181248,0.0,0.0,,1.0,0.0
hs300,0.049079535325869734,0.2437218125258373,0.20137522701488494,0.4055839196137687,0.0,0.0,,1.0,0.0
