,年化收益率,年化波动率,夏普比率,最大回撤,超额收益年化收益率,超额收益年化波动率,信息比率,超额收益胜率,超额收益最大回撤
Port1,0.21554049457576085,0.3147212980933795,0.6848614818302154,0.3927736606665197,0.1390543756942284,0.09645521880702568,1.4416469882508818,0.6716417910447762,0.05658427081671395
Port2,0.20589129447637333,0.3184766191795267,0.6464879431551347,0.4013384902339638,0.1314558597556048,0.09279295031797948,1.4166578312806808,0.6567164179104478,0.06936649660013493
Port3,0.19484056961463336,0.2988933317878694,0.6518732567540704,0.3653528173151448,0.11566234521918428,0.07929990029854682,1.4585433876176486,0.6268656716417911,0.07719182063624072
Port4,0.11431942480158486,0.2970381861646324,0.38486440507088093,0.42696576859359375,0.040812345494436235,0.06645189315347733,0.6141637740880614,0.5522388059701493,0.15715464914548538
Port5,0.13822204782160566,0.28585510534589953,0.4835388462079408,0.36387315617560734,0.05910874924827625,0.06973042207798205,0.8476751966619791,0.5970149253731343,0.10288931641990458
szzz,0.10168074583567233,0.2810274967655285,0.3618177829783977,0.4244630098086318,0.0,0.0,,1.0,0.0
index,0.08156996828718,0.2510225947102525,0.3249507016742205,0.4163962572582092,-0.027873011822965862,0.13774732330220968,-0.202348845369678,0.5373134328358209,0.6366223938806885
zz1000,0.08054738660810146,0.32099900537218634,0.2509272155367266,0.5694752905649019,0.0,0.0,,1.0,0.0
zz500,0.07526003176420537,0.27262006775381503,0.27606196559296464,0.4764878655181248,0.0,0.0,,1.0,0.0
hs300,0.049079535325869734,0.2437218125258373,0.20137522701488494,0.4055839196137687,0.0,0.0,,1.0,0.0
