,年化收益率,年化波动率,夏普比率,最大回撤,超额收益年化收益率,超额收益年化波动率,信息比率,超额收益胜率,超额收益最大回撤
Port1,0.21914066289900802,0.31697389723193314,0.6913523946694591,0.39277366066651964,0.14130360991945223,0.09706232738741741,1.4558028199287751,0.6666666666666666,0.05658427081671395
Port2,0.20931684330418254,0.32076588340684503,0.6525533235674396,0.4013384902339638,0.13357512465232335,0.09338046198266108,1.43043974956052,0.6515151515151515,0.06936649660013493
Port3,0.19806759941761198,0.30104233439138234,0.6579393553336792,0.36535281731514474,0.11751399073832314,0.07979589221248092,1.4726822080691355,0.6212121212121212,0.07719182063624073
Port4,0.11614847290691555,0.2992297069145293,0.38815822835428465,0.42696576859359375,0.04144335586613157,0.06693633637896516,0.6191458646839716,0.5454545454545454,0.15715464914548538
Port5,0.14045700724720955,0.28794745819534207,0.4877869321281671,0.36387315617560734,0.060030699299183254,0.07022387102206376,0.8548474817106295,0.5909090909090909,0.10288931641990458
szzz,0.1032983476822904,0.28310586344100225,0.36487533824539536,0.4244630098086318,0.0,0.0,,1.0,0.0
index,0.08285572980715217,0.25288586738542085,0.3276408075460879,0.41639625725820917,-0.02828929992524476,0.13878530872227463,-0.20383497493855712,0.5303030303030303,0.6366223938806885
zz1000,0.08181642785725396,0.32338824953497225,0.25299752843495343,0.5694752905649019,0.0,0.0,,1.0,0.0
zz500,0.07644285731902101,0.2746488474009235,0.27832943062539856,0.47648786551812483,0.0,0.0,,1.0,0.0
hs300,0.04984139822087008,0.2455455321270183,0.20298230551834115,0.4055839196137687,0.0,0.0,,1.0,0.0
