,年化收益率,年化波动率,夏普比率,最大回撤,超额收益年化收益率,超额收益年化波动率,信息比率,超额收益胜率,超额收益最大回撤
Port1,0.2165457102230044,0.3130319768945258,0.6917686568997651,0.3598243991493945,0.1392725221867983,0.09456188651814232,1.4728187784206055,0.6716417910447762,0.051288681607323465
Port2,0.19291617499739733,0.3060210701069952,0.6304016090458979,0.38875947972126296,0.11711979293674155,0.07752962033112946,1.5106457691463244,0.6865671641791045,0.060558456370633576
Port3,0.15676202814842322,0.2950460452683342,0.5313137751290771,0.3834280724137095,0.07977178823606003,0.07281168014157019,1.0955905437281086,0.6119402985074627,0.060464932848190385
Port4,0.13661264884974078,0.2943263305411633,0.4641536779891824,0.3714529259259957,0.05973672386280283,0.07591077911118985,0.7869333520514106,0.5522388059701493,0.11711176056696433
Port5,0.11428658776648093,0.2854871330787379,0.400321326337886,0.4216055461916673,0.03766175993947463,0.059460972434155136,0.6333862094364476,0.582089552238806,0.14572297719653238
szzz,0.10168074583567233,0.2810274967655285,0.3618177829783977,0.4244630098086318,0.0,0.0,,1.0,0.0
index,0.08156996828718,0.2510225947102525,0.3249507016742205,0.4163962572582092,-0.027873011822965862,0.13774732330220968,-0.202348845369678,0.5373134328358209,0.6366223938806885
zz1000,0.08054738660810146,0.32099900537218634,0.2509272155367266,0.5694752905649019,0.0,0.0,,1.0,0.0
zz500,0.07526003176420537,0.27262006775381503,0.27606196559296464,0.4764878655181248,0.0,0.0,,1.0,0.0
hs300,0.049079535325869734,0.2437218125258373,0.20137522701488494,0.4055839196137687,0.0,0.0,,1.0,0.0
