,avgIC,IC_IR,abs_T_greater2,factor_return
0,1.4998260582456018,0.30456218896296766,0.13846153846153847,0.16870613973715384
2,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
5,1.473828824211997,0.2983814619728363,0.15384615384615385,0.1475470466430494
8,1.399021308228688,0.29789305020860724,0.12307692307692308,0.1557769760925346
10,1.5835326853861649,0.34596797443383004,0.13846153846153847,0.1742124294718853
15,1.6498390185256477,0.3639600780095181,0.1076923076923077,0.19106875838565957
20,1.9138586221474285,0.43921294195451904,0.06153846153846154,0.19722612826895275
30,1.603327752791242,0.40651702276074697,0.09230769230769231,0.13597779944508517
45,1.294341112575992,0.2998474323199921,0.07692307692307693,0.06524624299142444
50,1.2528409671005636,0.2954201359062616,0.07692307692307693,0.0827403869533258
