,avgIC,IC_IR,abs_T_greater2,factor_return
0,1.3919346130601615,0.2685306229774448,0.2153846153846154,0.1382898812510643
2,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
5,1.3950308363593555,0.2695900276305755,0.16923076923076924,0.12704363851535766
8,1.2971763098125784,0.25774148412022374,0.15384615384615385,0.13533551615345185
10,1.4501780173348078,0.29063429035736077,0.15384615384615385,0.14409506023109123
15,1.3701877600804968,0.28778526807767335,0.13846153846153847,0.1550144548106286
20,1.6720817404319823,0.3777737968435151,0.13846153846153847,0.17396201268369219
30,1.2567497258297924,0.30502850577573315,0.13846153846153847,0.13918017095970883
45,1.1464381972204067,0.2568229634076571,0.1076923076923077,0.06400106092231561
50,1.1256998489678745,0.2623369548352218,0.1076923076923077,0.06483351644217039
