,avgIC,IC_IR,abs_T_greater2,factor_return
0,0.6004131941365716,0.10404235490717856,0.13846153846153847,0.14294863451230927
2,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
5,0.8432717596980208,0.15204313351374368,0.13846153846153847,0.1404130052537284
8,0.87040784270511,0.15975711249048064,0.13846153846153847,0.1507131937827285
10,1.0061559517376433,0.18679960339871743,0.15384615384615385,0.17127946391114324
15,0.96243450160569,0.1907519886723472,0.13846153846153847,0.17124194415222624
20,1.336608877944908,0.2841410521577988,0.1076923076923077,0.19395325397331797
30,1.2945857589538197,0.2918275730768009,0.1076923076923077,0.1611676050289568
45,1.0385241993070988,0.2516757525966301,0.1076923076923077,0.09289339665473928
50,1.0463275726043857,0.2749499834451563,0.1076923076923077,0.09814337118835725
