,avgIC,IC_IR,abs_T_greater2,factor_return
300,1.2159518268862115,0.1713280582046034,0.09230769230769231,0.1528262898217208
400,0.9540438958540055,0.14470557947115953,0.12307692307692308,0.1354385538693339
500,0.7208049218559248,0.12484822788172631,0.13846153846153847,0.10901040244972236
600,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
700,0.4720557030857073,0.08933323078730633,0.13846153846153847,0.12276435737435809
800,0.48116261308580366,0.09616317682612537,0.13846153846153847,0.08987032774435705
1000,0.4592962261190085,0.09449500279419751,0.2,0.07749020732164154
1200,0.2880174394642238,0.062261938700625796,0.2,0.055024104182906035
1500,0.34300385964819685,0.07250117718449255,0.23076923076923078,0.031619022091965446
1800,0.40147876111322645,0.08832469832574927,0.23076923076923078,0.03287190255830574
