,avgIC,IC_IR,abs_T_greater2,factor_return
0,1.4283925987750352,0.2773726675292422,0.16923076923076924,0.16817572043479656
2,1.2554091085134709,0.24284424191860968,0.16923076923076924,0.14081329918482188
5,1.2514650731825867,0.2496535113967626,0.15384615384615385,0.13611469543887747
8,1.1946872626908545,0.23773566922017944,0.2153846153846154,0.14493501595761224
10,1.3720660816520809,0.27515473612623215,0.2153846153846154,0.15421874875339475
15,1.410705858134514,0.3004027128992763,0.2153846153846154,0.16184395679294344
20,1.6704905575725433,0.36284377974347226,0.18461538461538463,0.18395603984504827
30,1.5354185699637113,0.33896683612631606,0.15384615384615385,0.16787947735192454
45,1.5856437334154427,0.3361128689048446,0.15384615384615385,0.1385052266545298
60,1.6199971671573883,0.3442590039485293,0.18461538461538463,0.146057640651563
