,avgIC,IC_IR,abs_T_greater2,factor_return
0,1.2601646874041865,0.23331693355440727,0.16923076923076924,0.14662447289207708
2,1.0648103361772083,0.19234516395428153,0.16923076923076924,0.12831768867612442
5,1.2433728007961922,0.23174849419135238,0.15384615384615385,0.13508495155876268
8,1.0855178217237147,0.2092818537236325,0.15384615384615385,0.14126987029779378
10,1.235981461069651,0.24414178757138344,0.16923076923076924,0.15049805514265577
15,1.1575869802305845,0.24135829091403402,0.16923076923076924,0.15341900914963455
20,1.2592747236736919,0.2866468589007476,0.15384615384615385,0.147051520082828
30,0.8707857429113359,0.21446082519340418,0.13846153846153847,0.11509110636217272
45,0.8065913351979996,0.18083374377824074,0.12307692307692308,0.06306675751583254
50,0.937706716065795,0.21686920434490295,0.1076923076923077,0.082298089854032
