,avgIC,IC_IR,abs_T_greater2,factor_return
6,1.219842253639438,0.21521794845153616,0.2153846153846154,0.14776521585032218
8,1.0441464885812635,0.18392937579606972,0.18461538461538463,0.12467167013395673
10,1.0648103361772083,0.19234516395428153,0.16923076923076924,0.12831768867612442
12,1.192726488268179,0.21593816912203734,0.18461538461538463,0.13717001906380916
15,1.1047620486150835,0.20014568617788603,0.18461538461538463,0.11897464125590898
20,0.9221244778861807,0.16133863951391464,0.16923076923076924,0.09947684599987779
25,0.9361152120143148,0.16691497138172412,0.12307692307692308,0.0983494126811809
30,1.0075025683468999,0.18077718244262364,0.15384615384615385,0.09893824044215338
35,1.0504452540746743,0.18601563871842064,0.16923076923076924,0.09618040303968664
40,1.0277704798876084,0.18092873767447026,0.15384615384615385,0.0817209531678597
