,avgIC,IC_IR,abs_T_greater2,factor_return
300,1.0267852195058964,0.13178178564868231,0.2,0.10386878901464695
400,1.015469885753449,0.1397609288354811,0.2,0.11890356130596783
500,1.1337275202742854,0.17838242598507695,0.2,0.12177822958193815
600,1.0648103361772083,0.19234516395428153,0.16923076923076924,0.12831768867612442
700,0.9996932586785998,0.18017627639643893,0.2153846153846154,0.11659703326693054
800,0.989709237744907,0.18444351098101772,0.16923076923076924,0.1404489801446734
1000,0.8047741170152553,0.16113068512997727,0.2,0.10268681064278266
1200,0.9166127913048928,0.1884500102836856,0.24615384615384617,0.11756439714618618
1500,0.874196760870633,0.18722197308736735,0.2923076923076923,0.08612502314045578
1800,0.6759915524547273,0.15487123151207105,0.27692307692307694,0.06911790373073222
