,avgIC,IC_IR,abs_T_greater2,factor_return
300,1.3250710857619703,0.1829170457200365,0.13846153846153847,0.1645133221733304
400,1.5171714231868831,0.2244012747101413,0.15384615384615385,0.15366964174739778
500,1.3080992829316667,0.21226873558381332,0.15384615384615385,0.09067342488398662
700,1.0918628402037445,0.2042570055760858,0.18461538461538463,0.07784040851009344
900,1.1942803510569144,0.22629180037789312,0.15384615384615385,0.1334126967114097
1000,1.2554091085134709,0.24284424191860968,0.16923076923076924,0.14081329918482188
1200,1.0452319554079417,0.21678560463470506,0.23076923076923078,0.10440339153558584
1500,0.9752424846211666,0.21424185564969883,0.2923076923076923,0.08842737181897783
1800,0.7871654222337073,0.18439042259433538,0.2923076923076923,0.07588801131340277
2000,0.5871834347598972,0.1418251722671006,0.3384615384615385,0.07273199995270702
