,年化收益率,年化波动率,夏普比率,最大回撤,超额收益年化收益率,超额收益年化波动率,信息比率,超额收益胜率,超额收益最大回撤
Port1,0.21336277188458563,0.3192133235499829,0.6684018370905405,0.3949195462914188,0.1378026344186316,0.10155913811050817,1.3568708535975,0.6417910447761194,0.06026884459161927
Port2,0.19934740005129803,0.31280612753024173,0.6372873882786243,0.39065685977175635,0.12405238202619406,0.08956935850729125,1.3849868313626001,0.7014925373134329,0.05916310696331909
Port3,0.17114532199192567,0.30285018190384183,0.5651154670472218,0.37841703729013487,0.09489600259326392,0.07939272497038063,1.195273277604052,0.5970149253731343,0.09805320107448917
Port4,0.13935178019301775,0.2896519569445407,0.48110077233035664,0.36560916574131314,0.06123743588431618,0.07143976083643175,0.8571898221289573,0.6119402985074627,0.1177558318619529
Port5,0.13580469250065397,0.28680599834102755,0.4735071556598861,0.38224826634570624,0.05787055773985905,0.06215035815302621,0.9311379605789324,0.6119402985074627,0.10160504729243684
szzz,0.10168074583567233,0.28102749676552846,0.3618177829783977,0.4244630098086318,0.0,0.0,,1.0,0.0
index,0.08156996828718,0.25102259471025246,0.32495070167422047,0.41639625725820917,-0.027873011822965865,0.13774732330220968,-0.20234884536967798,0.5373134328358209,0.6366223938806885
zz1000,0.08054738660810146,0.32099900537218634,0.2509272155367266,0.5694752905649019,0.0,0.0,,1.0,0.0
zz500,0.07526003176420537,0.27262006775381503,0.27606196559296464,0.47648786551812483,0.0,0.0,,1.0,0.0
hs300,0.04907953532586973,0.24372181252583733,0.20137522701488497,0.4055839196137687,0.0,0.0,,1.0,0.0
